hours_slept,study_duration_minutes,phone_pickups_last_hour,social_media_opens_last_hour,break_duration_minutes,subject_difficulty,current_time_of_day,caffeine_intake,previous_day_productivity,mood_level,target
7.5,49,1,1,3,6,19,1,9.1,4.8,Distracted
5.4,65,5,3,26,10,10,1,4.5,7.4,Distracted
8.1,36,6,3,8,8,18,1,5.9,5.1,Distracted
8.4,103,0,0,9,2,12,1,6.0,4.7,Distracted
4.1,16,2,1,26,5,8,3,5.8,1.0,Deep Focus
5.0,80,8,4,7,9,9,4,3.6,4.6,Study Crash Incoming
7.2,21,3,1,2,3,22,1,7.0,2.3,Study Crash Incoming
6.5,26,3,4,0,10,6,0,3.4,6.7,Study Crash Incoming
7.0,139,1,2,6,6,8,2,8.3,4.3,Study Crash Incoming
5.7,40,2,2,10,7,11,2,8.7,3.3,Distracted
8.3,44,4,3,2,7,8,1,4.7,7.5,Distracted
8.2,71,5,4,3,10,17,3,3.5,7.8,Distracted
7.1,79,8,7,0,7,21,1,5.9,7.5,Study Crash Incoming
8.7,69,0,0,9,5,21,4,5.0,3.3,Deep Focus
7.7,57,4,6,33,6,9,2,5.6,2.9,Distracted
5.7,10,3,1,0,7,21,1,6.2,6.7,Deep Focus
7.6,19,0,0,11,6,9,2,4.1,1.5,Deep Focus
5.6,28,2,3,0,1,19,2,9.3,2.9,Distracted
8.3,118,2,1,9,10,10,4,4.7,6.4,Study Crash Incoming
6.9,162,0,0,4,3,8,2,7.9,3.2,Study Crash Incoming
6.7,48,1,3,29,7,20,0,4.2,5.4,Deep Focus
6.0,37,10,4,9,6,10,3,6.1,3.4,Distracted
8.8,202,8,5,28,2,20,1,6.9,8.0,Study Crash Incoming
6.8,52,5,7,9,9,17,0,6.3,6.8,Distracted
6.4,84,1,1,12,1,11,2,5.5,6.0,Deep Focus
6.5,59,2,2,0,10,9,1,5.0,4.6,Study Crash Incoming
7.8,37,12,8,17,10,13,3,5.2,5.1,Study Crash Incoming
7.5,43,9,6,32,6,11,0,4.6,5.9,Distracted
7.6,72,7,3,20,10,10,1,6.7,4.1,Study Crash Incoming
7.6,150,1,5,2,9,11,1,9.7,9.0,Study Crash Incoming
10.0,44,0,2,12,9,18,2,6.7,7.6,Deep Focus
6.4,41,0,0,27,8,22,1,7.2,3.2,Deep Focus
6.2,13,0,0,11,10,21,3,8.2,6.9,Deep Focus
5.8,17,3,1,8,8,17,1,5.1,5.2,Distracted
7.9,10,3,2,11,9,8,1,2.4,7.8,Deep Focus
8.7,18,11,4,1,2,8,1,6.0,8.1,Distracted
6.8,99,3,4,5,5,22,1,7.7,5.3,Study Crash Incoming
5.7,88,0,1,13,5,19,2,10.0,2.9,Distracted
5.8,99,6,2,7,10,18,1,4.0,4.2,Study Crash Incoming
8.0,11,1,3,5,5,10,2,8.2,10.0,Deep Focus
8.1,75,8,5,7,5,23,2,6.5,4.3,Study Crash Incoming
7.8,28,0,0,4,8,10,0,5.2,5.7,Distracted
6.0,48,1,0,18,7,6,0,3.9,3.6,Distracted
7.3,139,16,7,0,6,18,1,4.8,4.4,Study Crash Incoming
7.2,58,1,1,5,10,11,1,7.1,7.0,Distracted
7.3,17,0,0,1,9,9,2,8.4,3.6,Distracted
8.3,39,1,2,3,8,21,0,1.0,4.4,Distracted
7.3,196,1,4,1,10,20,3,7.0,5.8,Study Crash Incoming
8.0,146,1,0,11,1,8,1,4.9,5.3,Deep Focus
7.1,103,5,3,4,6,8,0,5.0,5.5,Study Crash Incoming
7.4,18,3,1,19,1,8,0,6.8,5.4,Deep Focus
7.9,19,4,3,21,8,7,0,9.8,3.7,Distracted
4.8,16,4,2,14,2,17,1,4.6,7.0,Deep Focus
6.5,18,0,0,13,6,19,1,5.8,6.9,Deep Focus
6.3,10,0,2,7,8,11,3,2.8,4.1,Distracted
6.0,120,8,7,5,7,7,4,6.9,5.2,Study Crash Incoming
6.6,81,8,5,12,1,16,2,4.6,5.1,Study Crash Incoming
